game,rl_player,rl_team,winner,turns,capped,score_a,score_b,total_reward,avg_reward_recent,win_rate_recent,policy_loss,entropy,avg_selected_action_prob,grad_norm,weight_delta_norm,learning_rate,epsilon,temperature,decisions,explored_actions,sampled_actions,greedy_actions,checkpoint_path,eval_win_rate,eval_avg_reward,warning
815,2,A,B,459,False,6,8,-531.559375,-128.090171875,0.38,4.0459136962890625,0.47880005836486816,0.6938650147640146,63.20519142776972,0.0002318871025072767,1e-05,0.1,1.0,66,3,63,0,,,,
816,3,B,A,230,False,8,4,-506.196875,-137.91793750000002,0.37,4.989708423614502,0.6565473675727844,0.642288298442446,25.39677666607028,0.00021782462511639886,1e-05,0.1,1.0,29,1,28,0,,,,
817,0,A,B,288,False,5,8,-505.2875,-137.83882031250002,0.37,19.711666107177734,0.5840365886688232,0.5873543438131171,49.383645875979354,0.00020665308094392897,1e-05,0.1,1.0,24,3,21,0,,,,
818,1,B,A,314,False,8,5,-515.571875,-147.95358593750004,0.36,-6.610575199127197,0.5214793086051941,0.6414152729751853,31.2724276590459,0.0001894864598609174,1e-05,0.1,1.0,24,3,21,0,,,,
819,2,A,A,274,False,8,6,519.428125,-137.6853203125,0.37,10.194043159484863,0.33064138889312744,0.7482987458361388,46.900804730572276,0.0002030206399297153,1e-05,0.1,1.0,31,2,29,0,,,,
820,3,B,A,383,False,8,6,-523.6765625,-137.53121093750002,0.37,16.524776458740234,0.47666120529174805,0.6249914014171004,66.88584240438679,0.00022883789392925136,1e-05,0.1,1.0,46,7,39,0,,,,
821,0,A,B,377,False,6,8,-549.0953125000001,-147.67686718750002,0.36,0.2439359724521637,0.47042447328567505,0.6711635154458433,48.73052873289975,0.00023164824691034575,1e-05,0.1,1.0,42,4,38,0,,,,
822,1,B,A,368,False,8,6,-534.3234375000001,-147.69525781250002,0.36,56.95033645629883,0.6896633505821228,0.6156143555012954,95.85148278262345,0.000287854299476241,1e-05,0.1,1.0,41,4,37,0,,,,
823,2,A,B,251,False,5,8,-526.1203125000001,-157.7264609375,0.35,19.706350326538086,0.6365482807159424,0.6169306538999083,46.872046215981364,0.0002656970409578709,1e-05,0.1,1.0,25,2,23,0,,,,
824,3,B,B,421,False,7,8,472.51874999999995,-147.9586328125,0.36,-10.233314514160156,0.5891836881637573,0.6322446069505547,59.328392111301895,0.0002663863994272137,1e-05,0.1,1.0,65,5,60,0,,,,
825,0,A,B,204,False,4,8,-519.8640625,-148.0311015625,0.36,-18.287355422973633,0.5303243398666382,0.6617130511137782,39.83085823038839,0.00022212092604065949,1e-05,0.1,1.0,22,3,19,0,,,,
826,1,B,B,292,False,7,8,505.6359375,-137.95428125,0.37,2.1885433197021484,0.4770570397377014,0.7330194263070761,15.615745711970895,0.00020306669827473034,1e-05,0.1,1.0,39,2,37,0,,,,
827,2,A,B,479,False,6,8,-522.1773437500001,-148.3990546875,0.36,2.0791525840759277,0.4873650372028351,0.6638615273185214,38.3097784333297,0.00019513119756058516,1e-05,0.1,1.0,53,3,50,0,,,,
